Player,Tm,FantPos,Age,G,GS,Cmp,Att_pass,Yds_pass,TD_pass,Int_pass,Att_rush,Yds_rush,Y/A,TD_rush,Tgt,Rec,Yds_rec,Y/R,TD_rec,Fmb,FL,TD_total,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year,Team_Yds,Team_Tgt,Team_Att_rush,Team_Yds_rush
Brandon Powell,MIN,WR,28,17,2,0,0,0,0,0,5,17,3.4,0,44,29,324,11.17,1,1,1,1,0,0,38,67.1,71.1,52.6,0,96,0,2023,5057,594,325,1252
Jalin Hyatt,NYG,WR,22,17,7,0,0,0,0,0,0,0,0.0,0,40,23,373,16.22,0,1,0,0,0,0,37,60.3,63.3,48.8,0,100,0,2023,5223,484,453,1872
Allen Lazard,NYJ,WR,28,14,12,0,0,0,0,0,0,0,0.0,0,49,23,311,13.52,1,0,0,1,0,0,37,60.1,63.1,48.6,0,101,0,2023,4747,519,311,1392
Jalen Tolbert,DAL,WR,24,17,6,0,0,0,0,0,0,0,0.0,0,36,22,268,12.18,2,1,1,2,0,0,37,58.8,62.8,47.8,0,102,0,2023,6580,605,468,1920
Calvin Austin III,PIT,WR,24,17,1,0,0,0,0,0,11,57,5.18,1,30,17,180,10.59,1,2,0,2,0,0,36,52.7,55.7,44.2,0,103,0,2023,5431,483,487,2010
Andrei Iosivas,CIN,WR,24,16,1,0,0,0,0,0,0,0,0.0,0,25,15,116,7.73,4,0,0,4,0,0,36,50.6,53.6,43.1,0,104,0,2023,5784,592,383,1527
Marquez Valdes-Scantling,KC,WR,29,16,10,0,0,0,0,0,0,0,0.0,0,42,21,315,15.0,1,1,1,1,0,0,36,56.5,60.5,46.0,0,105,0,2023,6153,577,416,1781
David Bell,CLE,WR,23,15,3,0,0,0,0,0,0,0,0.0,0,23,14,167,11.93,3,0,0,3,0,0,35,48.7,51.7,41.7,0,106,0,2023,6028,579,518,2017
Lil'Jordan Humphrey,DEN,WR,25,17,8,0,0,0,0,0,0,0,0.0,0,19,13,162,12.46,3,0,0,3,0,0,34,47.2,50.2,40.7,0,107,0,2023,5376,477,451,1810
Jauan Jennings,SF,WR,26,13,2,0,0,0,0,0,0,0,0.0,0,33,19,265,13.95,1,0,0,1,0,0,33,51.5,54.5,42.0,0,109,0,2023,6966,471,499,2389
Skyy Moore,KC,WR,23,14,8,0,0,0,0,0,3,23,7.67,0,38,21,244,11.62,1,0,0,1,0,0,33,53.7,56.7,43.2,0,108,0,2023,6153,577,416,1781
JuJu Smith-Schuster,NE,WR,27,11,7,0,0,0,0,0,0,0,0.0,0,47,29,260,8.97,1,0,0,1,0,0,32,61.0,64.0,46.5,0,110,0,2023,5019,541,415,1627
Braxton Berrios,MIA,WR,28,16,1,0,0,0,0,0,1,11,11.0,0,33,27,238,8.81,1,1,0,1,0,0,31,57.9,60.9,44.4,0,112,0,2023,6990,542,454,2292
Mike Williams,LAC,WR,29,3,3,0,0,0,0,0,1,3,3.0,0,26,19,249,13.11,1,0,0,1,0,0,31,50.2,53.2,40.7,0,111,0,2023,5954,614,430,1642
Bo Melton,GB,WR,24,5,1,0,0,0,0,0,3,21,7.0,0,24,16,218,13.63,1,0,0,1,0,0,30,45.9,48.9,37.9,0,113,0,2023,6104,561,439,1894
Alex Erickson,LAC,WR,31,8,3,0,0,0,0,0,0,0,0.0,0,29,16,232,14.5,1,0,0,1,0,0,29,45.2,48.2,37.2,0,114,0,2023,5954,614,430,1642
Scott Miller,ATL,WR,26,17,0,0,0,0,0,0,0,0,0.0,0,16,11,161,14.64,2,0,0,2,0,0,28,39.1,42.1,33.6,0,116,0,2023,5934,480,522,2159
Allen Robinson,PIT,WR,30,17,17,0,0,0,0,0,0,0,0.0,0,49,34,280,8.24,0,0,0,0,0,0,28,62.0,65.0,45.0,0,117,0,2023,5431,483,487,2010
Olamide Zaccheaus,PHI,WR,26,17,1,0,0,0,0,0,0,0,0.0,0,20,10,164,16.4,2,0,0,2,0,0,28,38.4,41.4,33.4,0,115,0,2023,6229,525,510,2190
Jamal Agnew,JAX,WR,28,11,1,0,0,0,0,0,4,-2,-0.5,0,21,14,225,16.07,1,1,1,1,0,0,26,40.3,44.3,33.3,0,118,0,2023,6010,605,453,1646
Kadarius Toney,KC,WR,24,13,2,0,1,0,0,0,11,31,2.82,0,38,27,169,6.26,1,1,0,1,0,0,26,53.0,56.0,39.5,0,119,0,2023,6153,577,416,1781
Ronnie Bell,SF,WR,23,17,0,0,0,0,0,0,0,0,0.0,0,13,6,68,11.33,3,1,0,3,0,0,25,30.8,30.8,27.8,0,123,0,2023,6966,471,499,2389
Deonte Harty,BUF,WR,26,16,1,0,0,0,0,0,4,0,0.0,0,21,15,150,10.0,1,2,1,2,0,0,25,40.0,44.0,32.5,0,122,0,2023,6518,545,512,2212
Mack Hollins,ATL,WR,30,13,3,0,0,0,0,0,0,0,0.0,0,30,18,251,13.94,0,0,0,0,0,0,25,43.1,46.1,34.1,0,121,0,2023,5934,480,522,2159
Julio Jones,PHI,WR,34,11,4,0,0,0,0,0,0,0,0.0,0,19,11,74,6.73,3,0,0,3,0,0,25,36.4,36.4,30.9,0,120,0,2023,6229,525,510,2190
Ihmir Smith-Marsette,CAR,WR,24,17,0,0,0,0,0,0,8,74,9.25,1,10,8,51,6.38,0,2,0,2,0,0,25,32.5,32.5,28.5,0,124,0,2023,5018,534,444,1780
Treylon Burks,TEN,WR,23,11,9,0,0,0,0,0,5,18,3.6,0,30,16,221,13.81,0,0,0,0,0,0,24,39.9,42.9,31.9,0,125,0,2023,5367,477,441,1855
Hunter Renfrow,LV,WR,28,17,3,0,0,0,0,0,0,0,0.0,0,37,25,255,10.2,0,1,1,0,0,0,24,48.5,52.5,36.0,0,126,0,2023,5208,531,413,1542
Dyami Brown,WAS,WR,24,17,1,1,1,4,0,0,1,0,0.0,0,23,12,168,14.0,1,0,0,1,0,0,23,35.0,38.0,29.0,0,130,0,2023,5766,601,358,1592
